QueryPertID,GeneID,Symbol,Validation,Pct,pQSARCorr_r,NCI60_r,PSP_r,Probability_L,Probability_Q,Probability_LQ,Probability_NCI60,Probability_PSP
BRD-A98431941,7124,TNF,StructureSure,0.1133,0.6378,,,0.6166,0.8315,0.9743,0.5,0.5
BRD-A98702003,190,NR0B1,pQSAR,0.0058,0.6609,,,0.8343,0.85,0.9922,0.5,0.5
BRD-A98702003,5578,PRKCA,pQSAR,0.0044,0.6032,,,0.848,0.8005,0.9829,0.5,0.5
BRD-A99117172,7124,TNF,StructureSure,0.0528,0.4911,,,0.6861,0.6726,0.8369,0.5,0.5
BRD-A99182808,5581,PRKCE,pQSAR,0.0063,0.6066,0.2391,,0.83,0.8037,0.9821,0.5604,0.5
BRD-A99182808,5770,PTPN1,Known,0.795,0.7329,-0.1336,,0.3129,0.897,0.984,0.338,0.5
BRD-A99833829,1128,CHRM1,Known,0.1026,0.8906,,,0.6263,0.9572,0.9995,0.5,0.5
BRD-A99833829,1131,CHRM3,Known,0.0409,0.8906,,,0.707,0.9572,0.9996,0.5,0.5
BRD-A99833829,3156,HMGCR,pQSAR,0.0046,0.8194,,,0.8459,0.9359,0.9993,0.5,0.5
BRD-A99833829,3553,IL1B,pQSAR,0.0063,0.7212,,,0.83,0.8904,0.9968,0.5,0.5
BRD-A99833829,367,AR,pQSAR,0.0012,0.6076,,,0.9003,0.8047,0.9888,0.5,0.5
BRD-A99833829,7083,TK1,pQSAR,0.0061,0.8194,,,0.8317,0.9359,0.9993,0.5,0.5
BRD-K00198051,1128,CHRM1,StructureLikely,0.0303,0.8199,,,0.7303,0.9361,0.9989,0.5,0.5
BRD-K00198051,1131,CHRM3,StructureLikely,0.2791,0.8199,,,0.5163,0.9361,0.9977,0.5,0.5
BRD-K00198051,150,ADRA2A,Known,0.6855,0.8199,,,0.3604,0.9361,0.9963,0.5,0.5
BRD-K00198051,1812,DRD1,Known,0.1101,0.847,,,0.6194,0.9451,0.9989,0.5,0.5
BRD-K00198051,2568,GABRP,pQSAR,0.0063,0.7897,,,0.83,0.9244,0.9989,0.5,0.5
BRD-K00198051,3269,HRH1,Known,0.0177,0.8231,,,0.7684,0.9372,0.9991,0.5,0.5
BRD-K00198051,3358,HTR2C,StructureLikely,0.1922,0.8199,,,0.561,0.9361,0.998,0.5,0.5
BRD-K00234327,3358,HTR2C,Known,0.9874,0.6687,,,0.1303,0.8558,0.909,0.5,0.5
BRD-K00312224,1956,EGFR,pQSAR,0.0069,0.6173,,,0.8252,0.8136,0.9843,0.5,0.5
BRD-K00312224,2099,ESR1,Known,0.0108,0.6521,,,0.7998,0.8431,0.9895,0.5,0.5
BRD-K00317371,1432,MAPK14,pQSAR,0.0028,0.647,0.0115,,0.8684,0.8391,0.9922,0.4216,0.5
BRD-K00317371,1644,DDC,pQSAR,0.004,0.6623,,,0.8525,0.851,0.9932,0.5,0.5
BRD-K00337317,2475,MTOR,StructureLikely,0.2174,0.6601,,,0.5469,0.8493,0.9771,0.5,0.5
BRD-K00337317,2932,GSK3B,StructureLikely,0.0033,0.5018,,,0.8613,0.6865,0.9303,0.5,0.5
BRD-K00337317,5290,PIK3CA,pIC50,0.0003,0.6601,,,0.9378,0.8493,0.9966,0.5,0.5
BRD-K00337317,5291,PIK3CB,StructureLikely,0.0283,0.6601,,,0.7354,0.8493,0.9877,0.5,0.5
BRD-K00337317,5293,PIK3CD,pIC50,0.0104,0.6601,,,0.802,0.8493,0.9908,0.5,0.5
BRD-K00337317,5294,PIK3CG,StructureLikely,0.003,0.6601,,,0.8654,0.8493,0.9935,0.5,0.5
BRD-K00337317,5578,PRKCA,StructureLikely,0.0898,0.5018,,,0.639,0.6865,0.8373,0.5,0.5
BRD-K00337317,5591,PRKDC,Known,0.0718,0.6601,,,0.6595,0.8493,0.9839,0.5,0.5
BRD-K00337317,5594,MAPK1,StructureLikely,0.1702,0.5018,,,0.5745,0.6865,0.8073,0.5,0.5
BRD-K00337317,6300,MAPK12,StructureLikely,0.1226,0.5018,,,0.6088,0.6865,0.8235,0.5,0.5
BRD-K00532621,1577,CYP3A5,Known,0.0434,0.4864,,,0.7023,0.6664,0.8351,0.5,0.5
BRD-K00532621,2554,GABRA1,Known,0.2699,0.6007,,,0.5206,0.7981,0.9411,0.5,0.5
BRD-K00532621,2558,GABRA5,Known,0.067,0.6007,,,0.6656,0.7981,0.962,0.5,0.5
BRD-K00532621,2562,GABRB3,Known,0.1338,0.6007,,,0.5999,0.7981,0.9533,0.5,0.5
BRD-K00532621,2565,GABRG1,Known,0.113,0.6007,,,0.6169,0.7981,0.9556,0.5,0.5
BRD-K00532621,2568,GABRP,Known,0.424,0.6007,,,0.4571,0.7981,0.9294,0.5,0.5
BRD-K00603606,150,ADRA2A,pQSAR,0.0056,0.6618,,,0.8361,0.8506,0.9924,0.5,0.5
BRD-K00603606,3269,HRH1,pQSAR,0.0049,0.7096,,,0.8428,0.8834,0.9965,0.5,0.5
BRD-K00610438,1812,DRD1,StructureLikely,0.1654,0.6768,,,0.5776,0.8617,0.9838,0.5,0.5
BRD-K00610438,3269,HRH1,pQSAR,0.0005,0.7086,,,0.9259,0.8828,0.9981,0.5,0.5
BRD-K00610438,3358,HTR2C,Known,0.1405,0.684,,,0.5949,0.8667,0.9862,0.5,0.5
BRD-K00627859,10013,HDAC6,Known,0.0683,0.5463,,,0.6639,0.7407,0.9167,0.5,0.5
BRD-K00835182,1131,CHRM3,pQSAR,0.0025,0.6209,,,0.8731,0.8169,0.9888,0.5,0.5
BRD-K00835182,1577,CYP3A5,Known,0.7312,0.7056,,,0.3418,0.8809,0.9782,0.5,0.5
BRD-K00835182,190,NR0B1,Known,0.6176,0.5772,,,0.3864,0.7746,0.8808,0.5,0.5
BRD-K00835182,2908,NR3C1,Known,0.0273,0.8182,,,0.738,0.9355,0.9989,0.5,0.5
BRD-K00835182,301,ANXA1,Known,0.0298,0.8182,,,0.7315,0.9355,0.9989,0.5,0.5
BRD-K00835182,866,SERPINA6,StructureSure,0.0003,0.7652,,,0.9378,0.9135,0.9993,0.5,0.5
BRD-K00959089,1066,CES1,Known,0.8903,0.616,,,0.2574,0.8125,0.8944,0.5,0.5
BRD-K00959089,1131,CHRM3,pQSAR,0.0002,0.6345,,,0.946,0.8287,0.9955,0.5,0.5
BRD-K00959089,1645,AKR1C1,pQSAR,0.0032,0.6217,,,0.8626,0.8176,0.9881,0.5,0.5
BRD-K00959089,4129,MAOB,pQSAR,0.0078,0.661,,,0.8185,0.85,0.9916,0.5,0.5
BRD-K00959089,5465,PPARA,Known,0.029,0.721,,,0.7335,0.8902,0.9951,0.5,0.5
BRD-K01014769,1577,CYP3A5,StructureLikely,0.0078,0.7561,,,0.8185,0.9091,0.998,0.5,0.5
BRD-K01014769,190,NR0B1,StructureLikely,0.4064,0.5585,,,0.4637,0.7545,0.8761,0.5,0.5
BRD-K01014769,2099,ESR1,pQSAR,0.0008,0.7772,,,0.913,0.919,0.9992,0.5,0.5
BRD-K01014769,2908,NR3C1,Known,0.1791,0.8475,,,0.5689,0.9453,0.9987,0.5,0.5
BRD-K01014769,301,ANXA1,StructureLikely,0.0288,0.8097,,,0.7341,0.9323,0.9987,0.5,0.5
BRD-K01014769,3320,HSP90AA1,pQSAR,0.001,0.6611,,,0.9062,0.8501,0.9953,0.5,0.5
BRD-K01014769,367,AR,StructureLikely,0.3082,0.7719,,,0.5034,0.9166,0.9951,0.5,0.5
BRD-K01014769,6608,SMO,pQSAR,0.0071,0.5906,,,0.8236,0.7882,0.9765,0.5,0.5
BRD-K01014769,866,SERPINA6,StructureLikely,0.0634,0.8093,,,0.6704,0.9322,0.9984,0.5,0.5
BRD-K01095011,1131,CHRM3,pQSAR,0.0049,0.6995,,,0.8428,0.877,0.9959,0.5,0.5
BRD-K01095011,1577,CYP3A5,pQSAR,0.001,0.7398,,,0.9062,0.9007,0.9986,0.5,0.5
BRD-K01095011,1645,AKR1C1,pQSAR,0.0083,0.7402,,,0.815,0.901,0.9974,0.5,0.5
BRD-K01095011,367,AR,Known,0.0612,0.7779,,,0.6735,0.9193,0.9974,0.5,0.5
BRD-K01095011,4193,MDM2,pQSAR,0.0046,0.6901,,,0.8459,0.8709,0.9953,0.5,0.5
BRD-K01095011,6715,SRD5A1,Known,0.0422,0.7197,,,0.7045,0.8895,0.9944,0.5,0.5
BRD-K01188359,3326,HSP90AB1,pQSAR,0.0053,0.7824,,,0.8389,0.9213,0.9988,0.5,0.5
BRD-K01188359,3480,IGF1R,pQSAR,0.0006,0.6277,,,0.9211,0.8229,0.9932,0.5,0.5
BRD-K01188359,7846,TUBA1A,Known,0.5933,0.7936,,,0.3953,0.926,0.9951,0.5,0.5
BRD-K01192156,135,ADORA2A,pQSAR,0.0091,0.6162,,,0.8098,0.8126,0.9828,0.5,0.5
BRD-K01192156,1956,EGFR,Known,0.0067,0.7836,,,0.8268,0.9218,0.9987,0.5,0.5
BRD-K01192156,5468,PPARG,pQSAR,0.003,0.7181,,,0.8654,0.8885,0.9973,0.5,0.5
BRD-K01253243,3932,LCK,pQSAR,0.009,0.5854,,,0.8104,0.783,0.9729,0.5,0.5
BRD-K01253243,5578,PRKCA,pQSAR,0.0066,0.4378,,,0.8276,0.5991,0.8057,0.5,0.5
BRD-K01253243,5594,MAPK1,pQSAR,0.0063,0.4874,,,0.83,0.6677,0.8993,0.5,0.5
BRD-K01253243,673,BRAF,Known,0.0178,0.4678,,,0.7681,0.6412,0.8316,0.5,0.5
BRD-K01292756,3269,HRH1,Known,0.0252,0.7614,0.502,,0.7439,0.9117,0.9974,0.7085,0.5
BRD-K01292756,801,CALM1,Known,0.0581,0.7543,,,0.678,0.9082,0.9964,0.5,0.5
BRD-K01493881,1080,CFTR,Known,0.3605,0.7398,,,0.4816,0.9007,0.9916,0.5,0.5
BRD-K01493881,1545,CYP1B1,Known,0.8018,0.7132,,,0.3096,0.8856,0.9783,0.5,0.5
BRD-K01493881,231,AKR1B1,Known,0.6727,0.7427,,,0.3654,0.9023,0.9884,0.5,0.5
BRD-K01493881,2548,GAA,StructureLikely,0.6776,0.7055,,,0.3635,0.8809,0.9797,0.5,0.5
BRD-K01493881,367,AR,Known,0.5421,0.5744,,,0.4139,0.7716,0.8854,0.5,0.5
BRD-K01493881,4128,MAOA,Known,0.8179,0.7529,,,0.3014,0.9075,0.9877,0.5,0.5
BRD-K01493881,6713,SQLE,pQSAR,0.0086,0.7427,,,0.813,0.9023,0.9975,0.5,0.5
BRD-K01493881,7124,TNF,pQSAR,0.0005,0.6579,,,0.9259,0.8477,0.9959,0.5,0.5
BRD-K01567962,120892,LRRK2,Known,0.0644,0.683,0.5057,,0.6691,0.866,0.989,0.7103,0.5
BRD-K01567962,1956,EGFR,pQSAR,0.0082,0.7007,0.385,,0.8157,0.8778,0.9953,0.6458,0.5
BRD-K01567962,5599,MAPK8,Known,0.1814,0.5566,0.1491,,0.5675,0.7524,0.9042,0.5054,0.5
BRD-K01638814,11188,NISCH,Known,0.1103,0.7045,,,0.6193,0.8802,0.9906,0.5,0.5
BRD-K01648091,1577,CYP3A5,pQSAR,0.0022,0.6422,,,0.8783,0.8351,0.9922,0.5,0.5
BRD-K01648091,1812,DRD1,Known,0.2051,0.7661,,,0.5537,0.9139,0.9954,0.5,0.5
BRD-K01648091,3269,HRH1,pQSAR,0.004,0.7684,,,0.8525,0.915,0.9986,0.5,0.5
BRD-K01663662,1066,CES1,pQSAR,0.0017,0.6567,,,0.8881,0.8467,0.9941,0.5,0.5
BRD-K01663662,10857,PGRMC1,pQSAR,0.0063,0.6646,,,0.83,0.8527,0.9925,0.5,0.5
BRD-K01663662,1128,CHRM1,Known,0.0251,0.7873,,,0.7441,0.9234,0.9983,0.5,0.5
BRD-K01663662,1131,CHRM3,Known,0.2264,0.7873,,,0.5421,0.9234,0.9966,0.5,0.5
BRD-K01663662,150,ADRA2A,pQSAR,0.0049,0.7608,,,0.8428,0.9114,0.9984,0.5,0.5
BRD-K01663662,5292,PIM1,pQSAR,0.0005,0.6972,,,0.9259,0.8756,0.9977,0.5,0.5
BRD-K01663662,775,CACNA1C,pQSAR,0.0056,0.7336,,,0.8361,0.8974,0.9974,0.5,0.5
BRD-K02123250,4233,MET,Known,0.9682,0.7167,,,0.1753,0.8877,0.9643,0.5,0.5
BRD-K02130563,10013,HDAC6,Known,0.2888,0.6976,0.4839,0.924,0.5119,0.8758,0.9855,0.6992,0.8518
BRD-K02130563,10014,HDAC5,PSP,0.3355,0.6976,0.4839,0.924,0.4918,0.8758,0.9846,0.6992,0.8518
BRD-K02130563,1719,DHFR,pQSAR,0.0019,0.6329,0.1014,,0.884,0.8273,0.9913,0.4762,0.5
BRD-K02130563,3065,HDAC1,Known,0.0194,0.6976,0.6017,0.924,0.7622,0.8758,0.9937,0.7563,0.8518
BRD-K02130563,3066,HDAC2,Known,0.2008,0.6976,0.4839,0.924,0.5561,0.8758,0.9873,0.6992,0.8518
BRD-K02130563,51564,HDAC7,Known,0.7046,0.5725,0.4839,0.924,0.3528,0.7696,0.8604,0.6992,0.8518
BRD-K02130563,55869,HDAC8,Known,0.2645,0.6976,0.4839,0.924,0.5232,0.8758,0.986,0.6992,0.8518
BRD-K02130563,7150,TOP1,pQSAR,0.0049,0.7179,0.1044,,0.8428,0.8884,0.9969,0.478,0.5
BRD-K02130563,79885,HDAC11,PSP,0.6367,0.6976,0.4822,0.8282,0.3792,0.8758,0.9783,0.6983,0.8192
BRD-K02130563,83933,HDAC10,PSP,0.406,0.6976,0.4822,0.8282,0.4639,0.8758,0.9832,0.6983,0.8192
BRD-K02130563,8841,HDAC3,Known,0.0385,0.6976,0.4839,0.924,0.7118,0.8758,0.9924,0.6992,0.8518
BRD-K02130563,9734,HDAC9,Known,0.4242,0.6976,0.4839,0.924,0.457,0.8758,0.9829,0.6992,0.8518
BRD-K02130563,9759,HDAC4,Known,0.8153,0.5725,0.4839,0.924,0.3027,0.7696,0.8384,0.6992,0.8518
BRD-K02227374,116443,GRIN3A,Known,0.8807,0.6496,,,0.2641,0.8411,0.9355,0.5,0.5
BRD-K02227374,3269,HRH1,pQSAR,0.0072,0.64,,,0.8229,0.8333,0.9887,0.5,0.5
BRD-K02265150,1128,CHRM1,Known,0.8011,0.7982,,,0.3099,0.9279,0.994,0.5,0.5
BRD-K02265150,1131,CHRM3,Known,0.0014,0.7982,,,0.8951,0.9279,0.9994,0.5,0.5
BRD-K02265150,150,ADRA2A,Known,0.1095,0.8056,,,0.62,0.9308,0.998,0.5,0.5
BRD-K02265150,152,ADRA2C,Known,0.2382,0.8056,,,0.536,0.9308,0.9974,0.5,0.5
BRD-K02265150,1577,CYP3A5,pQSAR,0.0026,0.7711,,,0.8715,0.9163,0.9988,0.5,0.5
BRD-K02265150,1812,DRD1,Known,0.4074,0.8123,,,0.4633,0.9333,0.997,0.5,0.5
BRD-K02265150,2099,ESR1,pQSAR,0.0086,0.607,,,0.813,0.8041,0.9806,0.5,0.5
BRD-K02265150,2554,GABRA1,Known,0.7406,0.7982,,,0.3378,0.9279,0.9945,0.5,0.5
BRD-K02265150,2558,GABRA5,Known,0.792,0.7982,,,0.3144,0.9279,0.9941,0.5,0.5
BRD-K02265150,2562,GABRB3,Known,0.3287,0.7982,,,0.4946,0.9279,0.9967,0.5,0.5
BRD-K02265150,2565,GABRG1,Known,0.5888,0.7982,,,0.397,0.9279,0.9955,0.5,0.5
BRD-K02265150,2568,GABRP,Known,0.6806,0.7982,,,0.3624,0.9279,0.9949,0.5,0.5
BRD-K02265150,3269,HRH1,Known,0.067,0.8056,,,0.6656,0.9308,0.9983,0.5,0.5
BRD-K02265150,3358,HTR2C,Known,0.929,0.8133,,,0.2251,0.9337,0.9933,0.5,0.5
BRD-K02283807,6915,TBXA2R,Known,0.4877,0.5585,,,0.4336,0.7545,0.8658,0.5,0.5
BRD-K02404261,135,ADORA2A,Known,0.0261,0.6031,,,0.7413,0.8004,0.9719,0.5,0.5
BRD-K02404261,136,ADORA2B,Known,0.3834,0.6031,,,0.4726,0.8004,0.9347,0.5,0.5
BRD-K02404261,5144,PDE4D,Known,0.1653,0.7616,,,0.5777,0.9118,0.9955,0.5,0.5
BRD-K02404261,5743,PTGS2,pQSAR,0.0019,0.6918,,,0.884,0.872,0.9964,0.5,0.5
BRD-K02404261,7153,TOP2A,pQSAR,0.0072,0.7662,,,0.8229,0.914,0.9983,0.5,0.5
BRD-K02607075,1131,CHRM3,pQSAR,0.0014,0.6314,,,0.8951,0.8261,0.9919,0.5,0.5
BRD-K02607075,3358,HTR2C,pQSAR,0.0021,0.6048,,,0.8801,0.802,0.9864,0.5,0.5
BRD-K02637541,5743,PTGS2,Known,0.087,0.5404,0.338,,0.6419,0.7339,0.9033,0.619,0.5
BRD-K02637541,771,CA12,Known,0.4063,0.5343,-0.1387,,0.4638,0.7267,0.8304,0.3352,0.5
BRD-K02708799,2475,MTOR,pIC50,0.0005,0.6563,,,0.9259,0.8464,0.9958,0.5,0.5
BRD-K02708799,5290,PIK3CA,Known,0.0331,0.6563,,,0.7236,0.8464,0.9864,0.5,0.5
BRD-K02708799,5293,PIK3CD,pIC50,0.0073,0.6563,,,0.8221,0.8464,0.9911,0.5,0.5
BRD-K02708799,5294,PIK3CG,Known,0.0039,0.6563,,,0.8537,0.8464,0.9926,0.5,0.5
BRD-K02867583,1812,DRD1,Known,0.1121,0.5537,,,0.6177,0.7491,0.9136,0.5,0.5
BRD-K02867583,3358,HTR2C,Known,0.0964,0.5722,,,0.6323,0.7693,0.9362,0.5,0.5
BRD-K02867583,4128,MAOA,Known,0.0065,0.6003,,,0.8284,0.7977,0.9801,0.5,0.5
BRD-K02965346,4233,MET,Known,0.008,0.6141,,,0.8171,0.8107,0.9829,0.5,0.5
BRD-K03063480,1111,CHEK1,Known,0.4698,0.6631,,,0.4401,0.8516,0.97,0.5,0.5
BRD-K03063480,11200,CHEK2,Known,0.2041,0.6171,,,0.5542,0.8134,0.9578,0.5,0.5
BRD-K03063480,9212,AURKB,pQSAR,0.0057,0.6819,,,0.8352,0.8653,0.9944,0.5,0.5
BRD-K03222093,1577,CYP3A5,Known,0.4635,0.6049,1.0,,0.4424,0.8021,0.9307,0.8919,0.5
BRD-K03243820,1577,CYP3A5,NCI60,0.5891,0.5558,0.7091,,0.3968,0.7515,0.8466,0.8016,0.5
BRD-K03243820,3091,HIF1A,NCI60,0.0501,0.4816,0.7502,,0.6905,0.66,0.8186,0.8172,0.5
BRD-K03243820,5422,POLA1,NCI60,0.009,0.6664,0.7107,,0.8104,0.8541,0.9919,0.8022,0.5
BRD-K03243820,5423,POLB,NCI60,0.6231,0.6664,0.7107,,0.3843,0.8541,0.9661,0.8022,0.5
BRD-K03243820,6241,RRM2,pQSAR,0.0084,0.6139,0.5863,,0.8144,0.8105,0.9826,0.7493,0.5
BRD-K03243820,7150,TOP1,NCI60,0.0229,0.4816,0.7502,,0.7507,0.66,0.85,0.8172,0.5
BRD-K03243820,7298,TYMS,Known,0.0044,0.5734,0.6196,,0.848,0.7706,0.9734,0.7643,0.5
BRD-K03406345,1786,DNMT1,Known,0.4683,0.547,1.0,,0.4407,0.7415,0.8469,0.8919,0.5
BRD-K03406345,5422,POLA1,StructureLikely,0.0716,0.6808,0.1712,,0.6597,0.8645,0.9882,0.519,0.5
BRD-K03449891,1432,MAPK14,pQSAR,0.0037,0.6129,,,0.8561,0.8096,0.9859,0.5,0.5
BRD-K03449891,1577,CYP3A5,pQSAR,0.0034,0.6829,,,0.8599,0.866,0.9952,0.5,0.5
BRD-K03449891,207,AKT1,pQSAR,0.0097,0.571,,,0.8061,0.768,0.9657,0.5,0.5
BRD-K03449891,2321,FLT1,Known,0.2393,0.6829,,,0.5355,0.866,0.9832,0.5,0.5
BRD-K03449891,2322,FLT3,Known,0.6763,0.6829,,,0.364,0.866,0.9717,0.5,0.5
BRD-K03449891,2324,FLT4,Known,0.1199,0.6805,,,0.611,0.8643,0.9861,0.5,0.5
BRD-K03449891,3717,JAK2,pQSAR,0.0027,0.6644,,,0.8699,0.8526,0.9941,0.5,0.5
BRD-K03449891,3718,JAK3,pQSAR,0.0002,0.6644,,,0.946,0.8526,0.9971,0.5,0.5
BRD-K03449891,3791,KDR,Known,0.2247,0.6829,,,0.543,0.866,0.9835,0.5,0.5
BRD-K03449891,3815,KIT,Known,0.9018,0.6829,,,0.2488,0.866,0.9577,0.5,0.5
BRD-K03449891,3932,LCK,pIC50,0.0107,0.6836,,,0.8003,0.8664,0.9935,0.5,0.5
BRD-K03449891,4233,MET,Known,0.1799,0.5875,,,0.5684,0.7851,0.938,0.5,0.5
BRD-K03449891,4486,MST1R,Known,0.7921,0.5875,,,0.3143,0.7851,0.8716,0.5,0.5
BRD-K03449891,558,AXL,Known,0.9088,0.5875,,,0.2432,0.7851,0.8383,0.5,0.5
BRD-K03449891,5604,MAP2K1,pQSAR,0.0093,0.6513,,,0.8086,0.8425,0.9898,0.5,0.5
BRD-K03449891,6790,AURKA,pIC50,0.0044,0.6644,,,0.848,0.8526,0.9932,0.5,0.5
BRD-K03449891,7010,TEK,Known,0.834,0.6829,,,0.2927,0.866,0.964,0.5,0.5
BRD-K03670461,1956,EGFR,Known,0.0434,0.7784,,,0.7023,0.9195,0.9977,0.5,0.5
BRD-K03670461,3932,LCK,Known,0.4287,0.6481,,,0.4553,0.8399,0.9642,0.5,0.5
BRD-K03670461,506,ATP5F1B,pQSAR,0.0085,0.7992,,,0.8137,0.9283,0.9989,0.5,0.5
BRD-K03816923,5580,PRKCD,Known,0.2505,0.5581,,,0.5299,0.754,0.8958,0.5,0.5
BRD-K03842655,2280,FKBP1A,pQSAR,0.0071,0.67,,,0.8236,0.8568,0.9928,0.5,0.5
BRD-K03842655,3778,KCNMA1,Known,0.0346,0.6995,,,0.7202,0.877,0.9928,0.5,0.5
BRD-K03842655,498,ATP5F1A,pQSAR,0.0051,0.6966,,,0.8408,0.8752,0.9956,0.5,0.5
BRD-K04196797,1577,CYP3A5,Known,0.0007,0.666,,,0.9168,0.8538,0.996,0.5,0.5
BRD-K04196797,51422,PRKAG2,pQSAR,0.0002,0.6207,,,0.946,0.8167,0.9944,0.5,0.5
BRD-K04210847,1577,CYP3A5,Known,0.2029,0.5893,,,0.5549,0.7869,0.9372,0.5,0.5
BRD-K04210847,2099,ESR1,Known,0.0009,0.5322,,,0.9095,0.7242,0.9683,0.5,0.5
BRD-K04210847,2100,ESR2,Known,0.0156,0.5322,,,0.7768,0.7242,0.9317,0.5,0.5
BRD-K04210847,2852,GPER1,Known,0.2589,0.5088,,,0.5258,0.6954,0.8005,0.5,0.5
BRD-K04412738,1131,CHRM3,Known,0.4168,0.6565,,,0.4598,0.8466,0.9688,0.5,0.5
BRD-K04412738,116443,GRIN3A,Known,0.8319,0.6517,,,0.2939,0.8428,0.9437,0.5,0.5
BRD-K04412738,3358,HTR2C,Known,0.3523,0.6112,,,0.4849,0.808,0.9439,0.5,0.5
BRD-K04466929,3065,HDAC1,Known,0.0115,0.5662,,,0.796,0.7629,0.9615,0.5,0.5
BRD-K04466929,3066,HDAC2,Known,0.1336,0.5662,,,0.6001,0.7629,0.9236,0.5,0.5
BRD-K04833372,23476,BRD4,pQSAR,0.0077,0.6057,,,0.8192,0.8029,0.9808,0.5,0.5
BRD-K04833372,3480,IGF1R,Known,0.2061,0.5666,,,0.5531,0.7633,0.9131,0.5,0.5
BRD-K04833372,3643,INSR,Known,0.5939,0.6224,,,0.3951,0.8182,0.9379,0.5,0.5
BRD-K04833372,5979,RET,pQSAR,0.0035,0.6513,,,0.8586,0.8425,0.9922,0.5,0.5
BRD-K04833372,673,BRAF,pQSAR,0.0052,0.6065,,,0.8398,0.8036,0.983,0.5,0.5
BRD-K04887706,10000,AKT3,Known,0.0763,0.5134,,,0.654,0.7012,0.8658,0.5,0.5
BRD-K04887706,1577,CYP3A5,pQSAR,0.0017,0.5765,,,0.8881,0.7738,0.9804,0.5,0.5
BRD-K04887706,207,AKT1,Known,0.0682,0.5134,,,0.664,0.7012,0.8697,0.5,0.5
BRD-K04887706,208,AKT2,Known,0.0002,0.5134,,,0.946,0.7012,0.9722,0.5,0.5
BRD-K04923131,1017,CDK2,pIC50,0.0053,0.6265,0.4712,0.3963,0.8389,0.8218,0.9873,0.6926,0.6078
BRD-K04923131,1019,CDK4,StructureLikely,0.5236,0.6323,0.446,-0.1001,0.4206,0.8268,0.9501,0.6793,0.3111
BRD-K04923131,120892,LRRK2,StructureLikely,0.0056,0.7335,0.4712,0.3963,0.8361,0.8973,0.9974,0.6926,0.6078
BRD-K04923131,2931,GSK3A,Known,0.2986,0.6239,0.446,-0.2548,0.5076,0.8195,0.9562,0.6793,0.2352
BRD-K04923131,2932,GSK3B,Known,0.2786,0.6239,0.4712,0.3963,0.5166,0.8195,0.9574,0.6926,0.6078
BRD-K04923131,3791,KDR,pQSAR,0.0083,0.6754,0.4341,0.3396,0.815,0.8607,0.9931,0.6729,0.5738
BRD-K04923131,3932,LCK,StructureLikely,0.1552,0.623,0.5222,0.3963,0.5844,0.8187,0.9647,0.7186,0.6078
BRD-K04923131,6790,AURKA,pIC50,0.004,0.6581,,-0.2493,0.8525,0.8478,0.9927,0.5,0.2377
BRD-K04923131,898,CCNE1,StructureLikely,0.2496,0.6265,0.446,,0.5304,0.8218,0.9606,0.6793,0.5
BRD-K04923131,983,CDK1,StructureLikely,0.0005,0.4828,0.4712,0.3963,0.9259,0.6616,0.9444,0.6926,0.6078
BRD-K04949373,3551,IKBKB,Known,0.001,0.688,,,0.9062,0.8694,0.9969,0.5,0.5
BRD-K04949373,5970,RELA,Known,0.1947,0.5499,,,0.5596,0.7448,0.8926,0.5,0.5
BRD-K05104363,5594,MAPK1,StructureLikely,0.0631,0.5277,,,0.6709,0.7188,0.8946,0.5,0.5
BRD-K05104363,5604,MAP2K1,Known,0.0005,0.6977,,,0.9259,0.8759,0.9978,0.5,0.5
BRD-K05104363,5605,MAP2K2,Known,0.0017,0.6977,,,0.8881,0.8759,0.9968,0.5,0.5
BRD-K05151076,2099,ESR1,Known,0.341,0.6045,,,0.4895,0.8018,0.939,0.5,0.5
BRD-K05151076,2100,ESR2,Known,0.1843,0.6045,,,0.5658,0.8018,0.9511,0.5,0.5
BRD-K05236810,1080,CFTR,StructureLikely,0.2484,0.7293,,,0.5309,0.895,0.9915,0.5,0.5
BRD-K05236810,1545,CYP1B1,StructureLikely,0.1036,0.7383,,,0.6254,0.8999,0.9945,0.5,0.5
BRD-K05236810,1956,EGFR,pQSAR,0.008,0.7406,,,0.8171,0.9012,0.9975,0.5,0.5
BRD-K05236810,231,AKR1B1,Known,0.4432,0.7684,,,0.4499,0.915,0.994,0.5,0.5
BRD-K05236810,2548,GAA,Known,0.5471,0.59,,,0.4121,0.7876,0.9069,0.5,0.5
BRD-K05236810,3156,HMGCR,pQSAR,0.0076,0.5757,,,0.8199,0.773,0.9701,0.5,0.5
BRD-K05236810,367,AR,StructureLikely,0.0295,0.5729,,,0.7323,0.77,0.9548,0.5,0.5
BRD-K05236810,4128,MAOA,Known,0.167,0.7102,,,0.5766,0.8838,0.9901,0.5,0.5
BRD-K05395900,152,ADRA2C,pQSAR,0.0107,0.6704,,,0.8003,0.857,0.992,0.5,0.5
BRD-K05395900,3269,HRH1,pQSAR,0.0072,0.6554,,,0.8229,0.8457,0.991,0.5,0.5
BRD-K05395900,6335,SCN9A,pQSAR,0.0035,0.6443,,,0.8586,0.8369,0.9913,0.5,0.5
BRD-K05396879,3551,IKBKB,pQSAR,0.0093,0.7425,0.422,,0.8086,0.9022,0.9974,0.6663,0.5
